"Country Name","Country Code","Indicator Name","Indicator Code","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Lao PDR","LAO","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Latvia","LVA","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Latvia","LVA","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Latvia","LVA","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Nepal","NPL","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Nepal","NPL","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Nepal","NPL","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Panama","PAN","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Panama","PAN","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Panama","PAN","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Peru","PER","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Peru","PER","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Peru","PER","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Poland","POL","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Poland","POL","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Poland","POL","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"West Bank and Gaza","PSE","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"West Bank and Gaza","PSE","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"West Bank and Gaza","PSE","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Romania","ROU","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
"Romania","ROU","Poverty headcount ratio at rural poverty line (% of population)","SI.POV.RUHC","","","","","","","","","","","","","","","","","","",
"Romania","ROU","Poverty headcount ratio at urban poverty line (% of population)","SI.POV.URHC","","","","","","","","","","","","","","","","","","",
"Russian Federation","RUS","Poverty headcount ratio at national poverty line (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","",
